GEOCODE,PLACE,PLACENAME,P00010001_2010,P00010001,P00010001_d,P00010001_pd,RANK_POP_2010,RANK_POP,RANK_POP_d,RANK_POP_pd,POPDEN_2010,POPDEN,POPDEN_d,POPDEN_pd,H00010001_2010,H00010001,H00010001_d,H00010001_pd,H00010002_2010,H00010002,H00010002_d,H00010002_pd,H00010003_2010,H00010003,H00010003_d,H00010003_pd,OCC_2010,OCC,OCC_d,OCC_pd,VAC_2010,VAC,VAC_d,VAC_pd,LANDSQMI_2010,LANDSQMI,LANDSQMI_d,LANDSQMI_pd,AREASQMI_2010,AREASQMI,AREASQMI_d,AREASQMI_pd,WATERPCT_2010,WATERPCT,WATERPCT_d,WATERPCT_pd,P00010002_2010,P00010002,P00010002_d,P00010002_pd,P00010003_2010,P00010003,P00010003_d,P00010003_pd,P00010004_2010,P00010004,P00010004_d,P00010004_pd,P00010005_2010,P00010005,P00010005_d,P00010005_pd,P00010006_2010,P00010006,P00010006_d,P00010006_pd,P00010007_2010,P00010007,P00010007_d,P00010007_pd,P00010008_2010,P00010008,P00010008_d,P00010008_pd,P00010009_2010,P00010009,P00010009_d,P00010009_pd,P00020001_2010,P00020001,P00020001_d,P00020001_pd,P00020002_2010,P00020002,P00020002_d,P00020002_pd,P00020003_2010,P00020003,P00020003_d,P00020003_pd,P00020004_2010,P00020004,P00020004_d,P00020004_pd,P00020005_2010,P00020005,P00020005_d,P00020005_pd,P00020006_2010,P00020006,P00020006_d,P00020006_pd,P00020007_2010,P00020007,P00020007_d,P00020007_pd,P00020008_2010,P00020008,P00020008_d,P00020008_pd,P00020009_2010,P00020009,P00020009_d,P00020009_pd,P00020010_2010,P00020010,P00020010_d,P00020010_pd,P00020011_2010,P00020011,P00020011_d,P00020011_pd,P00030001_2010,P00030001,P00030001_d,P00030001_pd,P00030002_2010,P00030002,P00030002_d,P00030002_pd,P00030003_2010,P00030003,P00030003_d,P00030003_pd,P00030004_2010,P00030004,P00030004_d,P00030004_pd,P00030005_2010,P00030005,P00030005_d,P00030005_pd,P00030006_2010,P00030006,P00030006_d,P00030006_pd,P00030007_2010,P00030007,P00030007_d,P00030007_pd,P00030008_2010,P00030008,P00030008_d,P00030008_pd,P00030009_2010,P00030009,P00030009_d,P00030009_pd,P00040001_2010,P00040001,P00040001_d,P00040001_pd,P00040002_2010,P00040002,P00040002_d,P00040002_pd,P00040003_2010,P00040003,P00040003_d,P00040003_pd,P00040004_2010,P00040004,P00040004_d,P00040004_pd,P00040005_2010,P00040005,P00040005_d,P00040005_pd,P00040006_2010,P00040006,P00040006_d,P00040006_pd,P00040007_2010,P00040007,P00040007_d,P00040007_pd,P00040008_2010,P00040008,P00040008_d,P00040008_pd,P00040009_2010,P00040009,P00040009_d,P00040009_pd,P00040010_2010,P00040010,P00040010_d,P00040010_pd,P00040011_2010,P00040011,P00040011_d,P00040011_pd,C0010001_2010,C0010001,C0010001_d,C0010001_pd,C0010002_2010,C0010002,C0010002_d,C0010002_pd,C0010003_2010,C0010003,C0010003_d,C0010003_pd,C0010004_2010,C0010004,C0010004_d,C0010004_pd,C0010005_2010,C0010005,C0010005_d,C0010005_pd,C0010006_2010,C0010006,C0010006_d,C0010006_pd,C0020001_2010,C0020001,C0020001_d,C0020001_pd,C0020002_2010,C0020002,C0020002_d,C0020002_pd,C0020003_2010,C0020003,C0020003_d,C0020003_pd,C0020004_2010,C0020004,C0020004_d,C0020004_pd,C0020005_2010,C0020005,C0020005_d,C0020005_pd,C0020006_2010,C0020006,C0020006_d,C0020006_pd,C0030001_2010,C0030001,C0030001_d,C0030001_pd,C0030002_2010,C0030002,C0030002_d,C0030002_pd,C0030003_2010,C0030003,C0030003_d,C0030003_pd,C0030004_2010,C0030004,C0030004_d,C0030004_pd,C0030005_2010,C0030005,C0030005_d,C0030005_pd,C0030006_2010,C0030006,C0030006_d,C0030006_pd,C0040001_2010,C0040001,C0040001_d,C0040001_pd,C0040002_2010,C0040002,C0040002_d,C0040002_pd,C0040003_2010,C0040003,C0040003_d,C0040003_pd,C0040004_2010,C0040004,C0040004_d,C0040004_pd,C0040005_2010,C0040005,C0040005_d,C0040005_pd,C0040006_2010,C0040006,C0040006_d,C0040006_pd,P00010010_2010,P00010010,P00010010_d,P00010010_pd,P00010011_2010,P00010011,P00010011_d,P00010011_pd,P00010012_2010,P00010012,P00010012_d,P00010012_pd,P00010013_2010,P00010013,P00010013_d,P00010013_pd,P00010014_2010,P00010014,P00010014_d,P00010014_pd,P00010015_2010,P00010015,P00010015_d,P00010015_pd,P00010016_2010,P00010016,P00010016_d,P00010016_pd,P00010017_2010,P00010017,P00010017_d,P00010017_pd,P00010018_2010,P00010018,P00010018_d,P00010018_pd,P00010019_2010,P00010019,P00010019_d,P00010019_pd,P00010020_2010,P00010020,P00010020_d,P00010020_pd,P00010021_2010,P00010021,P00010021_d,P00010021_pd,P00010022_2010,P00010022,P00010022_d,P00010022_pd,P00010023_2010,P00010023,P00010023_d,P00010023_pd,P00010024_2010,P00010024,P00010024_d,P00010024_pd,P00010025_2010,P00010025,P00010025_d,P00010025_pd,T0050001_2010,T0050001,T0050001_d,T0050001_pd,P00050001,P00050002,P00050003,P00050004,P00050005,P00050006,P00050007,P00050008,P00050009,P00050010
09365,09365,Camano,,17356,,,,21,,,,436.58,,,,8996,,,,7456,,,,1540,,,,82.88,,,,17.12,,,,39.75454171988,,,,94.9406163272,,,,58.12693949355,,,,16021,,,,15210,,,,106,,,,133,,,,322,,,,40,,,,210,,,,1335,,,,17356,,,,718,,,,16638,,,,15690,,,,15050,,,,101,,,,119,,,,315,,,,40,,,,65,,,,948,,,,14801,,,,13857,,,,13197,,,,82,,,,107,,,,273,,,,30,,,,168,,,,944,,,,14801,,,,493,,,,14308,,,,13637,,,,13100,,,,82,,,,98,,,,269,,,,30,,,,58,,,,671,,,,16518,,,,244,,,,568,,,,571,,,,104,,,,799,,,,15988,,,,218,,,,494,,,,542,,,,94,,,,311,,,,14118,,,,158,,,,438,,,,415,,,,68,,,,611,,,,13762,,,,146,,,,387,,,,395,,,,63,,,,257,,,,1237,,,,92,,,,370,,,,188,,,,31,,,,534,,,,0,,,,2,,,,1,,,,4,,,,0,,,,0,,,,6,,,,5,,,,3,,,,1,,,,98,,,19,0,0,0,0,0,19,0,0,19
09810,09810,Canterwood,3079,3572,493,16.01169210783,111,105,-6,-5.40540540541,1422.44,1669.28,246.84,17.35328027896,1196,1379,183,15.30100334448,1123,1326,203,18.07658058771,73,53,-20,-27.397260274,93.9,96.16,2.26,2.406815761448,6.1,3.84,-2.26,-37.0491803279,2.164597673812,2.139850841008,-0.0247468328,-1.14325322913,2.164597673812,2.139850841008,-0.0247468328,-1.14325322913,0,0,0,,2962,3228,266,8.980418636057,2707,2871,164,6.058367196158,28,38,10,35.71428571429,31,23,-8,-25.8064516129,165,215,50,30.30303030303,5,22,17,340,26,59,33,126.9230769231,117,344,227,194.0170940171,3079,3572,493,16.01169210783,103,219,116,112.6213592233,2976,3353,377,12.66801075269,2873,3110,237,8.249216846502,2641,2810,169,6.399091253313,28,38,10,35.71428571429,30,19,-11,-36.6666666667,164,211,47,28.65853658537,5,22,17,340,5,10,5,100,103,243,140,135.9223300971,2306,2756,450,19.51431049436,2252,2542,290,12.87744227353,2068,2272,204,9.864603481625,17,32,15,88.23529411765,25,18,-7,-28,122,160,38,31.14754098361,5,16,11,220,15,44,29,193.3333333333,54,214,160,296.2962962963,2306,2756,450,19.51431049436,66,157,91,137.8787878788,2240,2599,359,16.02678571429,2191,2455,264,12.04929256047,2021,2227,206,10.19297377536,17,32,15,88.23529411765,24,14,-10,-41.6666666667,121,158,37,30.57851239669,5,16,11,220,3,8,5,166.6666666667,49,144,95,193.8775510204,2814,3194,380,13.5039090263,52,77,25,48.07692307692,67,104,37,55.22388059701,221,311,90,40.72398190045,14,44,30,214.2857142857,39,205,166,425.641025641,2735,3042,307,11.22486288848,52,68,16,30.76923076923,63,93,30,47.61904761905,218,302,84,38.53211009174,12,42,30,250,10,63,53,530,2118,2471,353,16.66666666667,26,53,27,103.8461538462,45,79,34,75.55555555556,146,200,54,36.98630136986,10,27,17,170,18,153,135,750,2066,2364,298,14.42400774443,26,45,19,73.07692307692,43,69,26,60.46511627907,145,195,50,34.48275862069,9,26,17,188.8888888889,3,52,49,1633.333333333,108,326,218,201.8518518519,15,24,9,60,31,66,35,112.9032258065,41,79,38,92.68292682927,4,9,5,125,7,129,122,1742.857142857,2,0,-2,-100,2,2,0,0,0,0,0,,0,7,7,,0,1,1,,0,1,1,,0,0,0,,1,4,3,300,5,2,-3,-60,0,2,2,,9,18,9,100,0,0,0,0,0,0,0,0,0,0
09820,09820,Canyon Creek,3200,3445,245,7.65625,107,107,0,0,524.1,564.3,40.2,7.670291929021,1355,1416,61,4.50184501845,1188,1281,93,7.828282828283,167,135,-32,-19.1616766467,87.68,90.47,2.79,3.182025547445,12.32,9.53,-2.79,-22.6461038961,6.105686203952,6.104958015242,-0.00072818871,-0.01192640246,6.227875187067,6.227147770561,-0.00072741651,-0.01168001097,1.961969041524,1.962210627104,0.00024158558,0.012313424674,3087,3143,56,1.814058956916,2960,2920,-40,-1.35135135135,12,13,1,8.333333333333,27,49,22,81.48148148148,28,57,29,103.5714285714,4,19,15,375,56,85,29,51.78571428571,113,302,189,167.2566371681,3200,3445,245,7.65625,146,219,73,50,3054,3226,172,5.631958087754,2955,3012,57,1.928934010152,2888,2868,-20,-0.69252077562,12,13,1,8.333333333333,25,38,13,52,24,53,29,120.8333333333,4,19,15,375,2,21,19,950,99,214,115,116.1616161616,2399,2630,231,9.62901208837,2343,2447,104,4.438753734528,2251,2278,27,1.199466903598,9,10,1,11.11111111111,22,37,15,68.18181818182,24,51,27,112.5,4,13,9,225,33,58,25,75.75757575758,56,183,127,226.7857142857,2399,2630,231,9.62901208837,80,134,54,67.5,2319,2496,177,7.632600258732,2269,2367,98,4.319083296606,2213,2251,38,1.717126073204,9,10,1,11.11111111111,20,28,8,40,21,47,26,123.8095238095,4,13,9,225,2,18,16,800,50,129,79,158,3070,3211,141,4.592833876221,27,50,23,85.18518518519,82,162,80,97.56097560976,65,125,60,92.30769230769,18,30,12,66.66666666667,65,196,131,201.5384615385,2985,3077,92,3.082077051926,27,45,18,66.66666666667,75,132,57,76,57,110,53,92.98245614035,14,30,16,114.2857142857,3,61,58,1933.333333333,2306,2458,152,6.591500433651,13,20,7,53.84615384615,58,119,61,105.1724137931,39,78,39,100,9,18,9,100,37,139,102,275.6756756757,2262,2379,117,5.172413793103,13,17,4,30.76923076923,53,97,44,83.01886792453,35,71,36,102.8571428571,8,18,10,125,3,53,50,1666.666666667,102,279,177,173.5294117647,10,28,18,180,44,94,50,113.6363636364,28,46,18,64.28571428571,8,2,-6,-75,9,98,89,988.8888888889,1,1,0,0,0,3,3,,0,0,0,,0,1,1,,1,0,-1,-100,0,0,0,,0,3,3,,1,3,2,200,0,0,0,,0,0,0,,11,23,12,109.0909090909,0,0,0,0,0,0,0,0,0,0
10075,10075,Carlsborg,995,1100,105,10.5527638191,188,187,-1,-0.53191489362,939.64,1039.24,99.6,10.59980418032,547,592,45,8.226691042048,511,573,62,12.13307240705,36,19,-17,-47.2222222222,93.42,96.79,3.37,3.607364590024,6.58,3.21,-3.37,-51.2158054711,1.058916103086,1.058465135746,-0.00045096734,-0.04258763645,1.058916103086,1.058465135746,-0.00045096734,-0.04258763645,0,0,0,,962,1016,54,5.613305613306,922,971,49,5.31453362256,3,3,0,0,8,13,5,62.5,22,19,-3,-13.6363636364,1,0,-1,-100,6,10,4,66.66666666667,33,84,51,154.5454545455,995,1100,105,10.5527638191,34,45,11,32.35294117647,961,1055,94,9.781477627471,930,992,62,6.666666666667,896,956,60,6.696428571429,3,3,0,0,8,9,1,12.5,22,19,-3,-13.6363636364,1,0,-1,-100,0,5,5,,31,63,32,103.2258064516,863,977,114,13.20973348783,841,916,75,8.917954815696,807,875,68,8.426270136307,2,3,1,50,8,10,2,25,19,19,0,0,0,0,0,,5,9,4,80,22,61,39,177.2727272727,863,977,114,13.20973348783,21,28,7,33.33333333333,842,949,107,12.70783847981,822,903,81,9.85401459854,793,867,74,9.331651954603,2,3,1,50,8,9,1,12.5,19,19,0,0,0,0,0,,0,5,5,,20,46,26,130,954,1052,98,10.27253668763,8,14,6,75,25,52,27,108,30,31,1,3.333333333333,4,6,2,50,8,32,24,300,926,1017,91,9.827213822894,8,12,4,50,25,44,19,76,30,30,0,0,4,5,1,25,0,11,11,,828,934,106,12.80193236715,4,4,0,0,22,39,17,77.27272727273,21,29,8,38.09523809524,3,6,3,100,7,28,21,300,812,912,100,12.31527093596,4,3,-1,-25,22,36,14,63.63636363636,21,28,7,33.33333333333,3,5,2,66.66666666667,0,11,11,,32,82,50,156.25,4,8,4,100,15,36,21,140,7,10,3,42.85714285714,3,4,1,33.33333333333,2,22,20,1000,1,1,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,1,2,1,100,0,0,0,0,0,0,0,0,0,0
10320,10320,Carson,2279,2323,44,1.930671347082,139,139,0,0,475.65,485,9.35,1.965731104804,1006,1042,36,3.578528827038,926,956,30,3.239740820734,80,86,6,7.5,92.05,91.75,-0.3,-0.32590983161,7.95,8.25,0.3,3.77358490566,4.791302121863,4.789702886653,-0.00159923521,-0.03337788286,4.815769416692,4.814170181483,-0.00159923521,-0.03320830113,0.508066161647,0.508234937836,0.000168776189,0.03321933285,2165,2068,-97,-4.48036951501,2052,1948,-104,-5.06822612086,11,3,-8,-72.7272727273,47,42,-5,-10.6382978723,12,6,-6,-50,1,0,-1,-100,42,69,27,64.28571428571,114,255,141,123.6842105263,2279,2323,44,1.930671347082,160,220,60,37.5,2119,2103,-16,-0.75507314771,2019,1922,-97,-4.80435859336,1957,1870,-87,-4.44557996934,10,2,-8,-80,38,35,-3,-7.89473684211,12,6,-6,-50,1,0,-1,-100,1,9,8,800,100,181,81,81,1742,1851,109,6.257175660161,1676,1670,-6,-0.35799522673,1604,1576,-28,-1.74563591022,3,2,-1,-33.3333333333,29,36,7,24.13793103448,12,4,-8,-66.6666666667,1,0,-1,-100,27,52,25,92.59259259259,66,181,115,174.2424242424,1742,1851,109,6.257175660161,77,139,62,80.51948051948,1665,1712,47,2.822822822823,1605,1581,-24,-1.4953271028,1563,1532,-31,-1.9833653231,3,2,-1,-33.3333333333,25,34,9,36,12,4,-8,-66.6666666667,1,0,-1,-100,1,9,8,800,60,131,71,118.3333333333,2164,2194,30,1.386321626617,25,31,6,24,128,156,28,21.875,25,51,26,104,11,20,9,81.81818181818,51,164,113,221.568627451,2055,2046,-9,-0.43795620438,19,24,5,26.31578947368,111,141,30,27.02702702703,25,34,9,36,11,11,0,0,4,46,42,1050,1669,1750,81,4.853205512283,8,24,16,200,78,113,35,44.87179487179,18,25,7,38.88888888889,7,14,7,100,32,129,97,303.125,1622,1658,36,2.219482120838,7,20,13,185.7142857143,72,107,35,48.61111111111,18,18,0,0,7,8,1,14.28571428571,2,45,43,2150,103,229,126,122.3300970874,5,11,6,120,73,96,23,31.50684931507,9,25,16,177.7777777778,6,8,2,33.33333333333,8,86,78,975,0,0,0,,1,0,-1,-100,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,1,1,,1,0,-1,-100,0,0,0,,0,1,1,,11,26,15,136.3636363636,0,0,0,0,0,0,0,0,0,0
10455,10455,Cascade Valley,2246,4332,2086,92.87622439893,142,81,-61,-42.9577464789,757.7,1166.08,408.38,53.89732083938,932,1665,733,78.64806866953,840,1527,687,81.78571428571,92,138,46,50,90.13,91.71,1.58,1.753023410629,9.87,8.29,-1.58,-16.0081053698,2.964250027413,3.715003312762,0.750753285349,25.32692176456,4.604147972886,5.358705136859,0.754557163973,16.38863842814,35.61783754845,30.67348887684,-4.94434867161,-13.8816643905,2142,3829,1687,78.75816993464,1845,2714,869,47.10027100271,43,61,18,41.86046511628,35,55,20,57.14285714286,13,21,8,61.53846153846,1,5,4,400,205,973,768,374.6341463415,104,503,399,383.6538461538,2246,4332,2086,92.87622439893,435,1705,1270,291.9540229885,1811,2627,816,45.05797901712,1751,2485,734,41.91890348372,1677,2374,697,41.56231365534,43,52,9,20.93023255814,18,19,1,5.555555555556,10,18,8,80,1,5,4,400,2,17,15,750,60,142,82,136.6666666667,1644,3105,1461,88.86861313869,1599,2769,1170,73.17073170732,1403,2049,646,46.04419101924,31,44,13,41.93548387097,25,42,17,68,10,19,9,90,1,4,3,300,129,611,482,373.6434108527,45,336,291,646.6666666667,1644,3105,1461,88.86861313869,254,1026,772,303.937007874,1390,2079,689,49.56834532374,1361,1977,616,45.2608376194,1304,1883,579,44.4018404908,31,44,13,41.93548387097,15,18,3,20,9,16,7,77.77777777778,1,4,3,300,1,12,11,1100,29,102,73,251.724137931,1942,3207,1265,65.13903192585,58,103,45,77.58620689655,81,147,66,81.48148148148,29,56,27,93.10344827586,4,20,16,400,243,1343,1100,452.6748971193,1737,2516,779,44.84743811169,53,77,24,45.28301886792,54,89,35,64.81481481481,22,42,20,90.90909090909,2,19,17,850,4,47,43,1075,1444,2376,932,64.54293628809,37,69,32,86.48648648649,48,120,72,150,16,41,25,156.25,2,15,13,650,145,849,704,485.5172413793,1333,1985,652,48.91222805701,34,61,27,79.41176470588,35,79,44,125.7142857143,14,31,17,121.4285714286,1,14,13,1300,3,27,24,800,97,467,370,381.4432989691,9,17,8,88.88888888889,37,65,28,75.67567567568,14,23,9,64.28571428571,2,7,5,250,28,345,317,1132.142857143,0,4,4,,0,0,0,,0,0,0,,3,0,-3,-100,1,0,-1,-100,0,0,0,,1,4,3,300,0,0,0,,1,2,1,100,1,0,-1,-100,7,36,29,414.2857142857,23,0,0,0,0,0,23,0,0,23
10600,10600,Cathcart,2458,2647,189,7.689178193653,131,131,0,0,636.44,685,48.56,7.629941549871,949,961,12,1.264488935722,899,913,14,1.557285873192,50,48,-2,-4,94.73,95.01,0.28,0.295576902776,5.27,4.99,-0.28,-5.31309297913,3.862108241428,3.864219448121,0.002111206692,0.054664617364,3.862108241428,3.864219448121,0.002111206692,0.054664617364,0,0,0,,2404,2377,-27,-1.1231281198,2337,2183,-154,-6.58964484382,9,16,7,77.77777777778,7,17,10,142.8571428571,35,90,55,157.1428571429,3,1,-2,-66.6666666667,13,70,57,438.4615384615,54,270,216,400,2458,2647,189,7.689178193653,93,209,116,124.7311827957,2365,2438,73,3.086680761099,2323,2256,-67,-2.88420146362,2273,2126,-147,-6.46722393313,7,16,9,128.5714285714,5,14,9,180,34,89,55,161.7647058824,3,1,-2,-66.6666666667,1,10,9,900,42,182,140,333.3333333333,1899,2032,133,7.003686150606,1867,1863,-4,-0.21424745581,1816,1725,-91,-5.01101321586,5,9,4,80,6,13,7,116.6666666667,28,68,40,142.8571428571,3,1,-2,-66.6666666667,9,47,38,422.2222222222,32,169,137,428.125,1899,2032,133,7.003686150606,62,122,60,96.77419354839,1837,1910,73,3.973870440936,1812,1793,-19,-1.04856512141,1773,1694,-79,-4.45572476029,3,9,6,200,5,13,8,160,27,68,41,151.8518518519,3,1,-2,-66.6666666667,1,8,7,700,25,117,92,368,2390,2446,56,2.34309623431,21,27,6,28.57142857143,33,71,38,115.1515151515,56,146,90,160.7142857143,3,9,6,200,15,226,211,1406.666666667,2314,2302,-12,-0.51858254105,17,25,8,47.05882352941,24,61,37,154.1666666667,52,139,87,167.3076923077,3,9,6,200,1,86,85,8500,1847,1890,43,2.328099621007,9,13,4,44.44444444444,25,47,22,88,41,98,57,139.0243902439,3,4,1,33.33333333333,11,151,140,1272.727272727,1797,1807,10,0.556483027268,7,13,6,85.71428571429,20,45,25,125,38,94,56,147.3684210526,3,4,1,33.33333333333,1,65,64,6400,48,264,216,450,11,7,-4,-36.3636363636,19,47,28,147.3684210526,15,50,35,233.3333333333,0,2,2,,2,151,149,7450,0,1,1,,0,0,0,,0,0,0,,0,0,0,,1,0,-1,-100,0,2,2,,0,1,1,,0,3,3,,0,0,0,,0,0,0,,6,6,0,0,0,0,0,0,0,0,0,0,0,0
10645,10645,Cavalero,4660,5232,572,12.27467811159,78,73,-5,-6.41025641026,2845.52,3815.91,970.39,34.10237847564,1687,1736,49,2.904564315353,1586,1706,120,7.566204287516,101,30,-71,-70.297029703,94.01,98.27,4.26,4.531432826295,5.99,1.73,-4.26,-71.1185308848,1.637659711165,1.371102877695,-0.26655683347,-16.2766923832,1.638768210509,1.712081291495,0.073313080985,4.473669950109,0.067642228919,19.91601774362,19.8483755147,29343.17190903,4501,4571,70,1.555209953344,4207,4106,-101,-2.40076063703,50,64,14,28,35,26,-9,-25.7142857143,133,215,82,61.65413533835,10,31,21,210,66,129,63,95.45454545455,159,661,502,315.7232704403,4660,5232,572,12.27467811159,242,422,180,74.38016528926,4418,4810,392,8.872793119058,4286,4335,49,1.143257116192,4060,3978,-82,-2.0197044335,48,63,15,31.25,32,21,-11,-34.375,132,212,80,60.60606060606,8,31,23,287.5,6,30,24,400,132,475,343,259.8484848485,3289,3753,464,14.10763149894,3228,3400,172,5.328376703841,3021,3020,-1,-0.03310162198,36,48,12,33.33333333333,26,26,0,0,100,187,87,87,6,26,20,333.3333333333,39,93,54,138.4615384615,61,353,292,478.6885245902,3289,3753,464,14.10763149894,127,250,123,96.85039370079,3162,3503,341,10.78431372549,3107,3248,141,4.538139684583,2941,2947,6,0.204012240734,35,48,13,37.14285714286,24,21,-3,-12.5,99,184,85,85.85858585859,6,26,20,333.3333333333,2,22,20,1000,55,255,200,363.6363636364,4343,4745,402,9.256274464656,89,171,82,92.13483146067,91,181,90,98.9010989011,195,413,218,111.7948717949,24,96,72,300,96,365,269,280.2083333333,4176,4436,260,6.226053639847,82,155,73,89.0243902439,78,154,76,97.4358974359,191,396,205,107.3298429319,20,93,73,365,17,107,90,529.4117647059,3067,3362,295,9.618519726117,51,91,40,78.43137254902,51,124,73,143.137254902,122,262,140,114.7540983607,15,58,43,286.6666666667,50,240,190,380,2984,3193,209,7.004021447721,48,89,41,85.41666666667,47,104,57,121.2765957447,120,259,139,115.8333333333,15,58,43,286.6666666667,8,79,71,887.5,142,585,443,311.9718309859,19,73,54,284.2105263158,35,111,76,217.1428571429,46,145,99,215.2173913043,7,23,16,228.5714285714,12,211,199,1658.333333333,3,1,-2,-66.6666666667,0,2,2,,0,1,1,,9,2,-7,-77.7777777778,5,2,-3,-60,0,1,1,,3,2,-1,-33.3333333333,2,11,9,450,0,0,0,,1,0,-1,-100,17,76,59,347.0588235294,0,0,0,0,0,0,0,0,0,0
11090,11090,Centerville,112,94,-18,-16.0714285714,315,334,19,6.031746031746,33.76,28.34,-5.42,-16.0545023697,44,46,2,4.545454545455,42,41,-1,-2.38095238095,2,5,3,150,95.45,89.13,-6.32,-6.62126767941,4.55,10.87,6.32,138.9010989011,3.317194905922,3.317194905918,-4.4630966E-12,-1.345443E-10,3.317194905922,3.317194905918,-4.4630966E-12,-1.345443E-10,0,0,0,,108,87,-21,-19.4444444444,101,79,-22,-21.7821782178,0,0,0,,6,5,-1,-16.6666666667,0,0,0,,0,0,0,,1,3,2,200,4,7,3,75,112,94,-18,-16.0714285714,2,4,2,100,110,90,-20,-18.1818181818,106,84,-22,-20.7547169811,100,79,-21,-21,0,0,0,,6,5,-1,-16.6666666667,0,0,0,,0,0,0,,0,0,0,,4,6,2,50,95,82,-13,-13.6842105263,92,76,-16,-17.3913043478,88,69,-19,-21.5909090909,0,0,0,,3,4,1,33.33333333333,0,0,0,,0,0,0,,1,3,2,200,3,6,3,100,95,82,-13,-13.6842105263,2,3,1,50,93,79,-14,-15.0537634409,90,73,-17,-18.8888888889,87,69,-18,-20.6896551724,0,0,0,,3,4,1,33.33333333333,0,0,0,,0,0,0,,0,0,0,,3,6,3,100,105,86,-19,-18.0952380952,0,1,1,,8,8,0,0,2,1,-1,-50,0,1,1,,1,8,7,700,104,85,-19,-18.2692307692,0,1,1,,8,8,0,0,2,1,-1,-50,0,1,1,,0,4,4,,91,75,-16,-17.5824175824,0,1,1,,5,7,2,40,1,1,0,0,0,1,1,,1,7,6,600,90,75,-15,-16.6666666667,0,1,1,,5,7,2,40,1,1,0,0,0,1,1,,0,4,4,,4,5,1,25,0,0,0,,2,2,0,0,2,0,-2,-100,0,0,0,,0,3,3,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,2,,0,0,0,0,0,0,0,0,0,0
11195,11195,Central Park,2685,2841,156,5.810055865922,123,123,0,0,763.16,807.5,44.34,5.810052937785,1150,1194,44,3.826086956522,1089,1125,36,3.305785123967,61,69,8,13.11475409836,94.7,94.22,-0.48,-0.50686378036,5.3,5.78,0.48,9.056603773585,3.518280779679,3.518249505403,-0.00003127428,-0.0008889079,3.522239485279,3.522208211004,-0.00003127428,-0.00088790884,0.112391721708,0.112392719653,9.979449988E-7,0.000887916818,2575,2552,-23,-0.8932038835,2410,2370,-40,-1.65975103734,6,11,5,83.33333333333,59,37,-22,-37.2881355932,42,55,13,30.95238095238,9,12,3,33.33333333333,49,67,18,36.73469387755,110,289,179,162.7272727273,2685,2841,156,5.810055865922,155,182,27,17.41935483871,2530,2659,129,5.098814229249,2450,2458,8,0.326530612245,2337,2333,-4,-0.17115960633,6,11,5,83.33333333333,47,30,-17,-36.170212766,42,55,13,30.95238095238,9,11,2,22.22222222222,9,18,9,100,80,201,121,151.25,2122,2210,88,4.147031102733,2062,2035,-27,-1.30940834142,1946,1898,-48,-2.46659815005,5,6,1,20,44,23,-21,-47.7272727273,35,47,12,34.28571428571,5,12,7,140,27,49,22,81.48148148148,60,175,115,191.6666666667,2122,2210,88,4.147031102733,83,111,28,33.73493975904,2039,2099,60,2.942618930848,1994,1970,-24,-1.2036108325,1907,1874,-33,-1.73046670163,5,6,1,20,37,16,-21,-56.7567567568,35,47,12,34.28571428571,5,11,6,120,5,16,11,220,45,129,84,186.6666666667,2516,2646,130,5.16693163752,12,34,22,183.3333333333,111,134,23,20.72072072072,73,122,49,67.12328767123,13,25,12,92.30769230769,73,183,110,150.6849315068,2415,2522,107,4.430641821946,11,33,22,200,94,117,23,24.46808510638,68,114,46,67.64705882353,12,20,8,66.66666666667,12,60,48,400,2003,2064,61,3.045431852222,6,16,10,166.6666666667,77,97,20,25.97402597403,51,80,29,56.86274509804,8,20,12,150,40,117,77,192.5,1951,1994,43,2.203997949769,5,16,11,220,67,86,19,28.35820895522,49,76,27,55.10204081633,7,16,9,128.5714285714,7,45,38,542.8571428571,107,275,168,157.0093457944,6,20,14,233.3333333333,47,84,37,78.72340425532,27,50,23,85.18518518519,3,2,-1,-33.3333333333,20,106,86,430,0,0,0,,0,0,0,,0,0,0,,0,3,3,,0,4,4,,0,3,3,,2,0,-2,-100,1,3,2,200,1,0,-1,-100,0,0,0,,3,14,11,366.6666666667,18,0,0,0,0,0,18,0,0,18
