X,Y,OBJECTID,INTR_ID,GIS_XCOORD,GIS_YCOORD,COMPKEY,COMPTYPE,UNITID,SUBAREA,UNITDESC,ARTERIALCLASSCD,SIGNAL_MAINT_DIST,SIGNAL_TYPE,SHAPE_LNG,SHAPE_LAT
1259122.11651814,259343.125821516,23,4041,1259122.11665,259343.12595,36919,13,230151,BLRD,NW 98TH ST AND DEAD END 1,0, ,NONE,-122.381907983204,47.7004614509182
1270635.93995392,205734.606022626,24,15916,1270635.93989,205734.60596,33154,13,64516,GRDWM,3RD AVE S AND S BRANDON ST,0, ,NONE,-122.330921818741,47.5541477988306
1276962.73368841,249620.314227566,25,6343,1276962.73388,249620.31429,25975,13,15508,NE,18TH AVE NE AND NE 63RD ST,0, ,NONE,-122.308712051399,47.6747725479625
1266681.78974187,238739.318568423,26,9227,1266681.78974,238739.31844,28059,13,29517,MGNL-QA,4TH AVE N AND NEWELL ST,0, ,NONE,-122.34956498388,47.6444002895581
1276644.80524008,232145.846177667,27,10785,1276644.80518,232145.84618,29323,13,37528,E,18TH AVE E AND E ALOHA ST,3, ,NONE,-122.308642614803,47.6268586247485
1278424.5923139,201194.418945968,28,16894,1278424.59244,201194.41882,167607,13,72277,GRDWM,BEACON ER AVE S AND S BRIGHTON ST,2, ,NONE,-122.299035820111,47.5421142945038
1284373.279296,189435.078901932,29,19155,1284373.2793,189435.07903,38155,13,305305,SE,47TH AVE S AND S VICTOR ST,0, ,NONE,-122.274064037724,47.5101898486161
1277638.94821709,202782.482691601,30,16554,1277638.94815,202782.48256,33402,13,65767,GRDWM,24TH AVE S AND S GRAHAM ST,2, ,NONE,-122.30233884061,47.5464261015272
1273334.00114068,243912.146477714,31,8015,1273334.0012,243912.14661,27084,13,23124,LKUN,5TH AVE NE AND NE 43RD ST,0, ,NONE,-122.322990131235,47.65893496365
1264507.04733965,233061.13437061,32,10606,1264507.04721,233061.1345,28589,13,34147,MGNL-QA,1ST AVE W AND W PROSPECT ST,0, ,NONE,-122.357929235483,47.6287188720864
1284145.76691176,248893.250354812,33,6545,1284145.76698,248893.25023,26103,13,16115,NE,45TH AVE NE AND OBERLIN AVE NE,0, ,NONE,-122.2795052412,47.6731534432856
1278260.69471374,213225.946382299,34,14143,1278260.69484,213225.94651,31501,13,52349,GRDWM,25TH AVE S AND S HANFORD W ST,0, ,NONE,-122.300628002261,47.5750840753429
1269634.5839849,260144.60780634,35,3881,1269634.58411,260144.60793,37285,13,232111,NW,ASHWORTH AVE N AND N 103RD ST,0, ,NONE,-122.339287805954,47.7032301782256
1284475.6113921,240014.161193728,36,8981,1284475.61146,240014.16132,27383,13,25324,NE,WEBSTER POINT RD NE AND DEAD END,0, ,NONE,-122.277490375692,47.6488328206895
1273896.87307727,216957.778450117,37,13399,1273896.87301,216957.77858,31252,13,51128,GRDWM,11TH AVE S AND BEACON AVE S,2, ,NONE,-122.318595674651,47.5850834949288
1277243.78533669,251979.005365983,38,5706,1277243.78527,251979.00537,24775,13,6720,NE,19TH AVE NE AND NE 73RD ST,0, ,NONE,-122.307754870242,47.6812524397628
1273168.27774853,215047.111696154,39,13772,1273168.27781,215047.11182,31299,13,51316,GRDWM,AIRPORT WAY S AND S LANDER N ST,1, ,CITY,-122.32139775775,47.5798078121069
1284096.37267171,244566.92011039,40,7820,1284096.3728,244566.92011,27317,13,25116,NE,45TH AVE NE AND NE 45TH ST,3, ,NONE,-122.279375748539,47.6612924236993
1271400.49912271,268572.418374971,41,2739,1271400.49899,268572.4185,35952,13,220708,NW,BAGLEY AVE N AND DEAD END 3,0, ,NONE,-122.332784117322,47.7264249650913
1281910.66380547,197600.676094294,42,17610,1281910.66374,197600.67622,34579,13,73735,GRDWM,38TH AVE S AND DEAD END 2 ,0, ,NONE,-122.284649729339,47.5324449647061
1267998.06891122,262168.252352417,43,3546,1267998.06878,262168.25235,36404,13,225716,NW,WHITMAN AVE N AND DEAD END,0, ,NONE,-122.346094451244,47.708688904645
1277046.98418449,223620.77826494,44,12337,1277046.98425,223620.77814,30214,13,41756,CNTRL,20TH AVE AND E SPRUCE ST,0, ,NONE,-122.306350242019,47.6035126490921
1279860.65708338,213532.739406601,45,14078,1279860.65721,213532.73947,31512,13,52456,SE,30TH AVE S AND S MOUNT BAKER WB S BV,3, ,NONE,-122.294170820353,47.5760084355925
1258588.1352696,210475.502411485,46,14959,1258588.13521,210475.50248,31889,13,54316,SW,38TH AVE SW AND SW DAKOTA ST,0, ,NONE,-122.380087590466,47.5664891278611
1266982.78814219,260074.185342267,47,3897,1266982.78814,260074.18541,37392,13,232513,NW,FREMONT AVE N AND N 102ND ST,0, ,NONE,-122.350049824146,47.7028943917929
1262917.30577002,233648.180131212,48,10480,1262917.30564,233648.18013,28622,13,34181,MGNL-QA,6TH AVE W AND DEAD END 3,0, ,NONE,-122.364422497269,47.6302414139634
1259627.88816665,247451.45041734,49,6969,1259627.88817,247451.45029,25149,13,11301,BLRD,17TH AVE NW AND NW 54TH ST,0, ,NONE,-122.378884589898,47.6678950849684
1270923.04664223,256676.489722788,50,4620,1270923.04671,256676.48966,37592,13,233728,NW,MERIDIAN AVE N AND N 90TH S ST,0, ,NONE,-122.333781359522,47.6937932037801
1271736.44427505,208289.89063324,51,15344,1271736.44447,208289.8907,32387,13,57731,GRDWM,6TH AVE S AND S ALASKA ST,0, ,NONE,-122.32666675709,47.5612103922955
1284997.91251263,204094.502340943,52,16282,1284997.91264,204094.50228,33522,13,66335,SE,48TH AVE S AND S MEAD ST,0, ,NONE,-122.272646363084,47.5504035424882
1282910.41241449,229978.413855448,53,11220,1282910.41235,229978.41398,29469,13,38734,E,LAKE WASHINGTON BLVD E AND MCGILVRA BLVD E,3, ,NONE,-122.283072376133,47.6212441291214
1279961.80153148,227858.068701282,54,11636,1279961.80153,227858.06864,30005,13,41128,CNTRL,29TH AVE AND E PINE ST,0, ,NONE,-122.294863275976,47.6152793738322
1274207.08011758,254314.130296364,55,5152,1274207.08025,254314.13036,24389,13,5118,N,8TH AVE NE AND NE 81ST ST,0, ,NONE,-122.320263484453,47.6874927922945
1273477.65016484,215798.703376934,56,13640,1273477.65023,215798.7035,31334,13,51458,GRDWM,S STACY ST AND DEAD END 1,0, ,NONE,-122.320203347141,47.5818843015021
1283619.80076723,256801.221434921,57,4561,1283619.80064,256801.22131,38454,13,235721,NE,42ND AVE NE AND NE 92ND S ST,0, ,NONE,-122.282244029573,47.6948020557253
1260542.68125559,237506.376487151,58,9561,1260542.68138,237506.37662,340119,13,28657,MGNL-QA,GILMAN UPPER DR W AND W WHEELER ST,0, ,NONE,-122.374364416105,47.6406865741027
1268735.36631998,234376.49629195,59,47040,1268735.36619,234376.49629,516428,13,29472,MGNL-QA,8TH AVE N AND WESTLAKE N AVE N,1, ,CITY,-122.340889130508,47.6325525715884
1272965.43333231,194347.359482959,60,18220,1272965.4334,194347.35961,286961,13,78453,GRDWM,DUWAMISH RIVER TRL AND S HENDERSON ST,, ,NONE,-122.320598717048,47.5230594682131
1269327.37860858,223160.903192461,61,47117,1269327.37874,223160.90332,534668,13,43223,DWNTN,COLMAN DOCK ACCESS RD AND DEAD END,0, ,NONE,-122.337599419913,47.6018427882423
1269058.77316831,225881.387291253,62,11969,1269058.7733,225881.38742,29592,13,39318,DWNTN,2ND AVE AND PIKE ST,1, ,CITY,-122.338903695481,47.6092851427132
1278931.97029842,228737.726046175,63,11471,1278931.97036,228737.72611,30040,13,41164,CNTRL,E HOWELL ST AND DEAD END,0, ,NONE,-122.299105832421,47.6176368158189
1256971.28451593,238592.099368274,64,9266,1256971.28452,238592.09924,27647,13,27528,MGNL-QA,25TH AVE W AND W RAYE ST,0, ,NONE,-122.388937558045,47.6434654931886
1254846.03612976,247814.105905712,65,6852,1254846.03626,247814.10603,25064,13,10301,BLRD,32ND AVE NW AND NW MARKET ST,3, ,NONE,-122.398317855409,47.6686241784134
1268928.17694418,230113.763999581,66,11168,1268928.17694,230113.764,28790,13,35336,LKUN,9TH AVE N AND THOMAS ST,1, ,NONE,-122.339768874637,47.6208789307226
1273065.95640442,248776.850994691,67,6584,1273065.9564,248776.85087,25827,13,14518,LKUN-NW,4TH AVE NE AND NE 60TH ST,0, ,NONE,-122.324460076627,47.6722547470896
1280887.64748442,212224.25351727,68,14415,1280887.64755,212224.25358,32644,13,59521,SE,34TH AVE S AND S HINDS ST,0, ,NONE,-122.289910505588,47.572475241466
1261192.63172026,236209.372197822,69,9896,1261192.63159,236209.37233,27971,13,28747,MGNL-QA,11TH AVE W AND GILMAN UPPER DR W,0, ,NONE,-122.371623312075,47.6371672109863
1261301.80247237,255711.223609805,70,4836,1261301.80254,255711.22348,37268,13,231744,BLRD,13TH AVE NW AND NW 85TH ST,1, ,NONE,-122.372762834445,47.6906265432507
1271632.33265895,261419.46156764,71,3650,1271632.33259,261419.46157,36590,13,226727,NW,CORLISS AVE N AND CORLISS AV I5 SB ON RP,5, ,NONE,-122.331276654157,47.7068313818222
1279245.24492274,217516.134994686,72,13282,1279245.24499,217516.13506,31413,13,52119,SE,28TH AVE S AND S GRAND ST,0, ,NONE,-122.296970553261,47.5868948524206
1278436.84133792,217535.101458713,73,13277,1278436.84127,217535.10159,31416,13,52122,SE,25TH AVE S AND S GRAND ST,0, ,NONE,-122.300247258786,47.5869046442826
1281553.00178911,211885.534028918,74,14623,1281553.00179,211885.53409,32655,13,59534,SE,COURTLAND PL S AND S SPOKANE ST,0, ,NONE,-122.287189643995,47.5715813011269
1280938.99481247,213781.985614866,75,14024,1280938.99475,213781.98568,30870,13,46730,SE,34TH AVE S AND S MOUNT BAKER EB BV,3, ,NONE,-122.289821956081,47.5767476496484
1268010.22276723,243919.335469723,76,8014,1268010.22264,243919.3356,26819,13,22134,LKUN,WOODLAND PARK AVE N AND N MOTOR PL,0, ,NONE,-122.344589594976,47.6586701202518
1281594.23788515,199292.230144024,77,17249,1281594.23801,199292.23002,34560,13,73710,GRDWM,S MYRTLE PL AND S OTHELLO ST,1, ,NONE,-122.286059643683,47.5370651541889
1277058.5888565,236174.732837796,78,9906,1277058.58898,236174.73297,28440,13,31717,NE,19TH AVE E AND BOYER AVE E,2, ,NONE,-122.307277800003,47.6379234775089
1256200.91465914,207910.487496853,79,15419,1256200.91472,207910.48743,32845,13,61503,SW,45TH AVE SW AND SW EDMUNDS ST,0, ,NONE,-122.38954529533,47.5593266578505
1280208.58354773,216613.239121765,80,13473,1280208.58348,216613.23919,31445,13,52155,SE,31ST AVE S AND S HILL ST,3, ,NONE,-122.292998195082,47.5844701757396
1282987.72793458,263045.627265304,81,3442,1282987.72793,263045.62733,36826,13,228702,N,40TH AVE NE AND NE 115TH ST,0, ,NONE,-122.285288569453,47.7118852751516
1262911.98493803,233414.531298965,82,10529,1262911.98494,233414.53124,28580,13,34138,MGNL-QA,6TH AVE W AND W HIGHLAND DR,0, ,NONE,-122.364425220696,47.6296007049904
1275301.8298787,212023.149261057,83,14552,1275301.82994,212023.1492,32532,13,58524,GRDWM,16TH AVE S AND S SPOKANE ST,2, ,NONE,-122.312519407469,47.5716319426036
1257033.35594,202710.877507523,84,16563,1257033.35607,202710.87757,33751,13,68107,SW,42ND AVE SW AND FAUNTLEROY WAY SW,1, ,NONE,-122.385749741227,47.5451209671201
1271758.32158707,210225.575755224,85,15004,1271758.32146,210225.57582,32390,13,57853,GRDWM,6TH AVE S AND S INDUSTRIAL EB WAY,2, ,NONE,-122.326730296141,47.5665172213462
1268048.42212728,232736.149474278,86,10677,1268048.42219,232736.14941,28727,13,35120,MGNL-QA,AURORA AVE N AND WARD ST,1, ,NONE,-122.34354414268,47.6280195219737
1264431.25386758,242014.366827771,87,8565,1264431.2538,242014.36689,26678,13,21311,LKUN,LEARY WAY NW AND NW 36TH E ST,1, ,NONE,-122.3589563273,47.6532551087746
1270709.732466,194304.605626926,88,18231,1270709.7324,194304.60556,35191,13,78707,GRDWM,4TH AVE S AND S HENDERSON S ST,0, ,NONE,-122.329723047769,47.5228224099842
1273586.31365295,252607.441078618,89,5535,1273586.31352,252607.44108,24608,13,5851,NW,NE MAPLE LEAF PL AND DEAD END,0, ,NONE,-122.322649277912,47.6827819014275
1258282.54403728,259090.054461256,90,4088,1258282.54391,259090.05459,36913,13,230145,BLRD,23RD AVE NW AND NW 97TH ST,0, ,NONE,-122.385296141513,47.6997214379986
1280848.15871638,255438.451193526,91,4898,1280848.15878,255438.45113,37684,13,234350,NE,32ND AVE NE AND NE 86TH ST,0, ,NONE,-122.293391673884,47.6909231112473
1265947.02020513,256271.109626368,92,4703,1265947.02033,256271.10956,37449,13,232726,NW,PHINNEY AVE N AND N 87TH ST,0, ,NONE,-122.353950372287,47.6924143289174
1256897.12029186,208545.764105499,93,15294,1256897.12029,208545.76423,31916,13,54344,SW,CALIFORNIA AVE SW AND SW ALASKA ST,2, ,CITY,-122.386778112239,47.5611064673866
1279569.95916307,230505.526943982,94,11096,1279569.95923,230505.52694,29258,13,37327,CNTRL,E ARTHUR PL AND E HARRISON ST,0, ,NONE,-122.296655782335,47.6225156286402
1281055.70489261,226968.291292369,95,11788,1281055.70489,226968.29123,30263,13,42556,CNTRL,33RD AVE AND E UNION ST,3, ,NONE,-122.290360608995,47.6128973602609
1282149.42214172,243817.735917613,96,8034,1282149.42214,243817.73585,27409,13,25520,NE,NE 42ND ST AND DEAD END 2,0, ,NONE,-122.287217683168,47.6591383503211
1278903.40831439,219252.061268464,97,12968,1278903.40819,219252.06133,30684,13,45362,CNTRL,26TH AVE S AND S WADSWORTH PL,0, ,NONE,-122.298489419445,47.5916351849556
1281722.71794929,207167.584776089,98,15580,1281722.71801,207167.5849,33567,13,66510,SE,37TH AVE S AND S EDMUNDS ST,0, ,NONE,-122.286141449033,47.558658175964
1272920.54853226,227975.519581392,99,11599,1272920.54866,227975.51965,29734,13,40109,E,BOYLSTON AVE AND E PINE ST,2, ,NONE,-122.323415472406,47.6152311418799
1263781.98615491,267573.289093941,100,2860,1263781.98609,267573.28916,35624,13,218317,NW,6TH AVE NW AND NW 130TH ST,0, ,NONE,-122.363652187244,47.7232752931324
1286107.52249777,205143.760134012,101,16067,1286107.52237,205143.76026,33684,13,67533,SE,52ND AVE S AND WILSON N AVE S,2, ,NONE,-122.268233118314,47.5533363759879
1262609.56330571,239964.028713673,102,8993,1262609.56318,239964.02859,26779,13,21751,MGNL-QA,W ETRURIA ST AND DEAD END,0, ,NONE,-122.366180497309,47.6475360100851
1275149.07397455,231226.06947273,103,10982,1275149.07397,231226.06941,29007,13,36319,E,14TH AVE E AND E MERCER ST,0, ,NONE,-122.314635398626,47.6242587678985
1265651.67959683,259577.545277759,104,3995,1265651.67953,259577.54541,37396,13,232517,NW,GREENWOOD AVE N AND N 100TH ST,2, ,NONE,-122.355414876545,47.7014610842661
1286746.83456242,195426.664060071,105,18014,1286746.8345,195426.66406,35429,13,81530,SE,SEWARD PARK AVE S AND S CLOVERDALE ST,2, ,NONE,-122.264912624088,47.5267342964654
1274197.68312557,253257.609079286,106,5374,1274197.683,253257.60914,24415,13,5144,N,8TH AVE NE AND NE 77TH ST,0, ,NONE,-122.320218756154,47.6845964004819
1261439.71357651,237974.570407644,107,9429,1261439.71358,237974.57041,27902,13,28556,MGNL-QA,WESTVIEW DR W AND W HALLADAY ST,0, ,NONE,-122.370764342464,47.642019049025
1285043.06464069,248891.980338812,108,6547,1285043.06464,248891.98021,26101,13,16112,NE,ANN ARBOR AVE NE AND NE 60TH ST,0, ,NONE,-122.275863695216,47.6731961283079
1281619.40454118,221012.511190265,109,12726,1281619.40461,221012.51113,35554,13,146855,CNTRL,LAKESIDE UPPER AVE S AND S LANE ST,0, ,NONE,-122.287619360344,47.5966017992145
1280356.97132388,270425.448456869,110,2528,1280356.97132,270425.44839,36003,13,221117,N,30TH AVE NE AND NE 143RD ST,3, ,NONE,-122.296542643065,47.7319766703792
1263328.44503444,211988.217869028,111,14569,1263328.44497,211988.21774,286979,13,55275,DLRD,22ND AVE SW CONNCTR TRL AND DELRIDGE CONNCTR TRL,0, ,NONE,-122.361011712015,47.5708949665154
1277921.68620139,218514.56110771,112,13113,1277921.68607,218514.56117,287008,13,45867,SE,MOUNTAINS TO SOUND TRL AND S ATLANTIC ST,0, ,NONE,-122.302410167143,47.5895623966179
1283877.34028749,193146.004601732,113,18426,1283877.34022,193146.0046,286941,13,80463,SE,45TH AVE S AND S SHELL ST,0, ,NONE,-122.276351924611,47.5203360621843
1278884.17605838,209929.779722914,114,15034,1278884.17619,209929.77959,335198,13,58453,GRDWM,29TH AVE S AND S DAKOTA ST,0, ,NONE,-122.297848431476,47.5660818591855
1279124.26975462,238607.657128289,115,9259,1279124.26988,238607.65713,493077,13,31258,NE,MONTLAKE BV EB ON RP AND SR520 EB,4, ,NONE,-122.299088445269,47.6447002481268
1281471.04492502,263973.735618263,116,3315,1281471.04492,263973.73562,36629,13,227132,N,33RD PL NE AND 35TH AVE NE,2, ,NONE,-122.291519628602,47.7143505975134
1264048.80516319,245546.931247383,117,7482,1264048.80516,245546.93138,25363,13,12364,LKUN,3RD AVE NW AND NW 47TH S ST,3, ,NONE,-122.360792236478,47.6629168822801
1266714.88708591,259815.728510007,118,3932,1266714.88696,259815.72857,37403,13,232524,NW,EVANSTON AVE N AND N 101ST ST,0, ,NONE,-122.351116932099,47.7021714959607
1267254.81809446,236795.856934428,119,9763,1267254.81809,236795.85706,27995,13,29705,MGNL-QA,5TH AVE N AND LYNN ST,0, ,NONE,-122.347085753439,47.639104270636
1261891.51485698,237963.85488762,120,9433,1261891.51492,237963.85476,27904,13,28558,MGNL-QA,9TH AVE W AND W HALLADAY ST,0, ,NONE,-122.368931097715,47.6420144067828
1255818.70448275,201708.363458499,121,16806,1255818.70442,201708.36339,165436,13,68530,SW,45TH AVE SW AND SW WILLOW ST,0, ,NONE,-122.390584699799,47.5423058700365
1275438.33522284,253341.425847366,122,5355,1275438.33503,253341.42585,24413,13,5142,NE,12TH AVE NE AND NE 77TH ST,1, ,NONE,-122.315189384649,47.6848917401446
1276303.48568773,264597.641538903,123,3228,1276303.48575,264597.64141,36449,13,226124,N-NW,15TH AVE NE AND NE 120TH ST,1, ,HALFPED,-122.312555980513,47.7157903572298
1272947.6397323,194052.508346662,124,18273,1272947.6396,194052.50828,35133,13,78323,GRDWM,S DIRECTOR ST AND DEAD END 4 ,0, ,NONE,-122.320647657175,47.5222503445171
1282351.58156593,212654.570253715,125,14294,1282351.5815,212654.57038,32637,13,59511,SE,BELLA VISTA AVE S AND S HORTON ST,0, ,NONE,-122.284013866521,47.5737305442445
1279534.87423503,256265.782842368,126,4705,1279534.87417,256265.78297,37665,13,234325,NE,27TH AVE NE AND NE 89TH ST,0, ,NONE,-122.298787054832,47.6931223868075
1271151.05733046,197381.918334067,127,17638,1271151.05746,197381.91833,35147,13,78504,GRDWM,5TH AVE S AND S MONROE ST,0, ,NONE,-122.328179144145,47.5312807564313
1266756.40734196,233391.287586942,128,10535,1266756.40734,233391.28772,28844,13,35535,MGNL-QA,4TH AVE N AND HIGHLAND DR,0, ,NONE,-122.348835122197,47.6297456015
1283681.95910329,207391.883592322,129,15519,1283681.95898,207391.88366,33416,13,66104,SE,44TH AVE S AND S ANGELINE ST,0, ,NONE,-122.27822491392,47.5593740978525
1274357.34130174,243374.630189165,130,8166,1274357.34124,243374.63006,27094,13,23134,NE,9TH AVE NE AND NE 42ND ST,1, ,NONE,-122.31879625188,47.6575158716136
1271912.91083524,196838.315773517,131,17738,1271912.9109,196838.31565,35183,13,78668,GRDWM,S SOUTHERN ST AND DEAD END,0, ,NONE,-122.325053162844,47.5298312804099
1280339.33522786,267114.335301474,132,2913,1280339.33523,267114.33517,36054,13,221325,N,30TH AVE NE AND NE 130TH ST,3, ,NONE,-122.29635851955,47.7229000511287
1281143.62169269,217767.24865894,133,13244,1281143.62169,217767.24879,30833,13,46510,SE,LAKE WASHINGTON BLVD S AND S MASSACHUSETTS ST,0, ,NONE,-122.289298524834,47.5876818711109
1254537.49705744,258494.788284644,134,4208,1254537.49712,258494.78828,36869,13,229302,BLRD,NW ESPLANADE AND DEAD END,0, ,NONE,-122.400452507776,47.6978818140782
1254923.75318584,252560.803702578,135,5549,1254923.75325,252560.80377,23997,13,2705,BLRD,32ND AVE NW AND NW 73RD ST,3, ,NONE,-122.398394260866,47.6816388165026
1270468.05016175,198182.859326884,136,17477,1270468.05023,198182.85939,34272,13,71731,GRDWM,S PORTLAND ST AND DEAD END 2 ,0, ,NONE,-122.331006460182,47.533439710872
1257900.26301289,199255.554687992,137,17257,1257900.26295,199255.55469,33817,13,68336,SW,39TH AVE SW AND SW WEBSTER ST,0, ,NONE,-122.381958845658,47.5356980313459
1275720.59973514,221754.526743025,138,12637,1275720.59961,221754.52662,30761,13,45552,CNTRL,16TH AVE S AND S KING ST,0, ,NONE,-122.311580474748,47.5983275587495
1273103.13054846,210083.711819082,139,15016,1273103.13042,210083.71188,32292,13,57316,GRDWM,9TH AVE S AND S ADAMS ST,0, ,NONE,-122.321272863862,47.5661997849135
1257492.46429247,247780.354609683,140,6862,1257492.46442,247780.35474,25143,13,11136,BLRD,24TH AVE NW AND NW MARKET ST,2, ,CITY,-122.387576488226,47.6686786924087
1281348.1649249,227805.370653227,141,11646,1281348.16492,227805.37053,30251,13,42540,CNTRL,34TH AVE AND E PINE ST,3, ,NONE,-122.289239314799,47.6152069668549
1273099.42290045,237749.010215402,142,9501,1273099.42303,237749.01009,28209,13,30131,LKUN,BOYLSTON AVE E AND E LOUISA ST,2, ,NONE,-122.323457610473,47.6420295250458
1256674.26115564,202792.736259609,143,16552,1256674.26103,202792.73639,33753,13,68109,SW,CALIFORNIA AVE SW AND SW BEVERIDGE PL,2, ,NONE,-122.387210104158,47.5453254694853
1265366.41310053,229351.305502802,144,11322,1265366.4131,229351.30563,29662,13,39516,DWNTN,DENNY WAY AND WARREN AVE N,1, ,NONE,-122.35414746773,47.6185970215694
1271635.98187496,205983.448390871,145,15840,1271635.98187,205983.44845,33157,13,64519,GRDWM,6TH AVE S AND S BENNETT ST,0, ,NONE,-122.326892287352,47.5548831462716
1281150.66495669,264410.43225871,146,3260,1281150.66502,264410.43219,36618,13,227120,N,33RD AVE NE AND NE 120TH ST,0, ,NONE,-122.292854474842,47.7155309279664
1276025.46098344,232813.690658346,147,10650,1276025.46105,232813.69079,529881,13,37651,E,16TH AVE E AND E PROSPECT E ST,0, ,NONE,-122.311205811398,47.6286565990735
1276851.6443443,212525.325389579,148,14335,1276851.64422,212525.32545,32545,13,58654,GRDWM,S HINDS ST AND DEAD END 3,0, ,NONE,-122.306281131002,47.5730898900515
1262817.69674592,249544.579763487,149,6370,1262817.69681,249544.57976,25265,13,12127,BLRD-NW,8TH AVE NW AND NW 62ND S ST,2, ,NONE,-122.366110372914,47.6738071071808
1266168.73662135,244060.580909863,150,7982,1266168.73656,244060.58104,26952,13,22535,LKUN,DAYTON AVE N AND N 43RD ST,3, ,NONE,-122.352071873575,47.6589578891375
1261238.5194643,237330.044134974,151,9605,1261238.51934,237330.04407,27917,13,28573,MGNL-QA,11TH AVE W AND SOUND VIEW S TR W,0, ,NONE,-122.371528072623,47.6402414198984
1254674.02435358,199981.861632735,152,17130,1254674.02448,199981.86176,33910,13,68726,SW,VIEW LN SW AND SW OTHELLO ST,0, ,NONE,-122.395076433466,47.5375100625325
1273853.82789323,231254.174112752,153,10974,1273853.82789,231254.17411,29002,13,36314,E,10TH AVE E AND E MERCER ST,0, ,NONE,-122.31988902204,47.6242673355147
